Student ID,Student Last Name,Student First Name,Student Grade,School,Completion Date,Norming Window,Most Recent Diagnostic YTD (Y/N),Overall Relative Placement,Percent Progress to Annual Typical Growth (%)
1000037,Rodriguez,Olivia,7,Falcon Ridge Elementary,2026-01-08,Winter (November 16 - March 1),N,1 Grade Level Below,125
1000037,Rodriguez,Olivia,7,Falcon Ridge Elementary,2026-03-04,Spring (March 2 - End of Year),Y,2 Grade Levels Below,104
1000038,Smith,Leo,1,Bear Creek Elementary,2025-09-04,Fall (Beginning of Year - November 15),N,Early On Grade Level,78
1000038,Smith,Leo,1,Bear Creek Elementary,2025-12-16,Winter (November 16 - March 1),N,2 Grade Levels Below,188
1000038,Smith,Leo,1,Bear Creek Elementary,2026-04-03,Spring (March 2 - End of Year),Y,1 Grade Level Below,189
1000039,Clark,Leo,9,Cedar Hills Elementary,2025-10-23,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,173
1000039,Clark,Leo,9,Cedar Hills Elementary,2026-01-05,Winter (November 16 - March 1),Y,1 Grade Level Below,116
1000040,Thompson,Emma,9,Grand Mesa Elementary,2025-11-05,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,72
1000040,Thompson,Emma,9,Grand Mesa Elementary,2025-12-30,Winter (November 16 - March 1),N,Early On Grade Level,81
1000040,Thompson,Emma,9,Grand Mesa Elementary,2026-03-10,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,31
1000041,Lee,James,1,East High,2025-10-07,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,102
1000041,Lee,James,1,East High,2026-02-17,Winter (November 16 - March 1),N,Mid or Above Grade Level,0
1000041,Lee,James,1,East High,2026-05-02,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,89
1000042,Ramirez,Ethan,9,Heritage Middle,2025-10-06,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,108
1000042,Ramirez,Ethan,9,Heritage Middle,2025-11-19,Winter (November 16 - March 1),Y,2 Grade Levels Below,194
1000043,Sanchez,James,7,Foothills Elementary,2025-09-14,Fall (Beginning of Year - November 15),N,1 Grade Level Below,195
1000043,Sanchez,James,7,Foothills Elementary,2025-12-10,Winter (November 16 - March 1),N,Mid or Above Grade Level,20
1000043,Sanchez,James,7,Foothills Elementary,2026-05-03,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,49
1000044,Martinez,Noah,7,Aspen Elementary,2025-09-18,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,84
1000044,Martinez,Noah,7,Aspen Elementary,2026-05-11,Spring (March 2 - End of Year),Y,2 Grade Levels Below,22
1000045,Martinez,Ava,11,North High,2025-08-25,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,88
1000045,Martinez,Ava,11,North High,2026-02-19,Winter (November 16 - March 1),N,2 Grade Levels Below,0
1000045,Martinez,Ava,11,North High,2026-05-02,Spring (March 2 - End of Year),Y,Early On Grade Level,74
1000046,Clark,Emma,12,Horizon Middle,2025-09-01,Fall (Beginning of Year - November 15),N,1 Grade Level Below,64
1000046,Clark,Emma,12,Horizon Middle,2025-11-22,Winter (November 16 - March 1),Y,Mid or Above Grade Level,223
1000047,Ramirez,Emma,2,South High,2026-04-07,Spring (March 2 - End of Year),Y,1 Grade Level Below,20
1000048,Williams,Henry,7,Cedar Hills Elementary,2025-08-19,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,121
1000048,Williams,Henry,7,Cedar Hills Elementary,2025-12-05,Winter (November 16 - March 1),N,Mid or Above Grade Level,165
1000048,Williams,Henry,7,Cedar Hills Elementary,2026-03-17,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,187
1000049,Taylor,Leo,9,Grand Mesa Elementary,2025-10-05,Fall (Beginning of Year - November 15),N,Early On Grade Level,73
1000049,Taylor,Leo,9,Grand Mesa Elementary,2025-11-23,Winter (November 16 - March 1),N,Mid or Above Grade Level,206
1000049,Taylor,Leo,9,Grand Mesa Elementary,2026-03-28,Spring (March 2 - End of Year),Y,2 Grade Levels Below,60
1000050,Smith,Sophia,8,Canyon Ridge Elementary,2025-11-06,Fall (Beginning of Year - November 15),N,2 Grade Levels Below,60
1000050,Smith,Sophia,8,Canyon Ridge Elementary,2025-12-15,Winter (November 16 - March 1),N,1 Grade Level Below,89
1000050,Smith,Sophia,8,Canyon Ridge Elementary,2026-03-31,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,168
1000051,Brown,Harper,10,Foothills Elementary,2025-10-31,Fall (Beginning of Year - November 15),N,1 Grade Level Below,142
1000051,Brown,Harper,10,Foothills Elementary,2026-02-25,Winter (November 16 - March 1),N,Mid or Above Grade Level,155
1000051,Brown,Harper,10,Foothills Elementary,2026-05-13,Spring (March 2 - End of Year),Y,2 Grade Levels Below,180
1000052,Moore,Benjamin,6,Heritage Middle,2025-08-20,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,64
1000052,Moore,Benjamin,6,Heritage Middle,2026-02-18,Winter (November 16 - March 1),N,Mid or Above Grade Level,78
1000052,Moore,Benjamin,6,Heritage Middle,2026-05-14,Spring (March 2 - End of Year),Y,1 Grade Level Below,159
1000053,Johnson,Logan,12,Heritage Middle,2025-09-01,Fall (Beginning of Year - November 15),N,1 Grade Level Below,0
1000053,Johnson,Logan,12,Heritage Middle,2026-01-29,Winter (November 16 - March 1),N,Mid or Above Grade Level,126
1000053,Johnson,Logan,12,Heritage Middle,2026-03-13,Spring (March 2 - End of Year),Y,1 Grade Level Below,24
1000054,Thompson,Harper,2,Mountain View Middle,2025-11-02,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,120
1000054,Thompson,Harper,2,Mountain View Middle,2026-01-25,Winter (November 16 - March 1),N,1 Grade Level Below,138
1000054,Thompson,Harper,2,Mountain View Middle,2026-04-22,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,112
1000055,Johnson,Harper,K,North High,2026-02-04,Winter (November 16 - March 1),N,1 Grade Level Below,80
1000055,Johnson,Harper,K,North High,2026-04-07,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,114
1000056,Martin,Jackson,1,Aspen Elementary,2025-11-08,Fall (Beginning of Year - November 15),N,1 Grade Level Below,160
1000056,Martin,Jackson,1,Aspen Elementary,2025-11-30,Winter (November 16 - March 1),N,1 Grade Level Below,189
1000056,Martin,Jackson,1,Aspen Elementary,2026-03-21,Spring (March 2 - End of Year),Y,2 Grade Levels Below,0
1000057,Anderson,Lucas,7,South High,2025-09-28,Fall (Beginning of Year - November 15),N,Early On Grade Level,106
1000057,Anderson,Lucas,7,South High,2026-02-19,Winter (November 16 - March 1),N,Mid or Above Grade Level,221
1000057,Anderson,Lucas,7,South High,2026-04-24,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,0
1000058,White,Mia,4,Aspen Elementary,2025-10-24,Fall (Beginning of Year - November 15),N,Early On Grade Level,2
1000058,White,Mia,4,Aspen Elementary,2026-01-16,Winter (November 16 - March 1),N,Early On Grade Level,48
1000058,White,Mia,4,Aspen Elementary,2026-05-10,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,0
1000059,Ramirez,Lucas,3,Central High,2025-08-15,Fall (Beginning of Year - November 15),N,Early On Grade Level,234
1000059,Ramirez,Lucas,3,Central High,2026-02-27,Winter (November 16 - March 1),N,Early On Grade Level,0
1000059,Ramirez,Lucas,3,Central High,2026-03-21,Spring (March 2 - End of Year),Y,1 Grade Level Below,267
1000060,Brown,Nora,8,Mountain View Middle,2025-10-05,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,547
1000060,Brown,Nora,8,Mountain View Middle,2026-02-07,Winter (November 16 - March 1),N,1 Grade Level Below,208
1000060,Brown,Nora,8,Mountain View Middle,2026-04-04,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,40
1000061,Lee,Ethan,10,Central High,2025-11-15,Fall (Beginning of Year - November 15),N,Early On Grade Level,209
1000061,Lee,Ethan,10,Central High,2026-02-03,Winter (November 16 - March 1),N,Mid or Above Grade Level,207
1000061,Lee,Ethan,10,Central High,2026-03-13,Spring (March 2 - End of Year),Y,1 Grade Level Below,152
1000062,Garcia,Elijah,10,Cedar Hills Elementary,2025-08-13,Fall (Beginning of Year - November 15),N,3 or More Grade Levels Below,241
1000062,Garcia,Elijah,10,Cedar Hills Elementary,2025-12-04,Winter (November 16 - March 1),N,3 or More Grade Levels Below,145
1000062,Garcia,Elijah,10,Cedar Hills Elementary,2026-03-25,Spring (March 2 - End of Year),Y,Early On Grade Level,120
1000063,Jackson,Lily,3,South High,2026-01-13,Winter (November 16 - March 1),N,1 Grade Level Below,133
1000063,Jackson,Lily,3,South High,2026-04-30,Spring (March 2 - End of Year),Y,Early On Grade Level,202
1000064,Wilson,Jackson,5,Horizon Middle,2025-10-07,Fall (Beginning of Year - November 15),N,1 Grade Level Below,34
1000064,Wilson,Jackson,5,Horizon Middle,2026-01-04,Winter (November 16 - March 1),N,3 or More Grade Levels Below,127
1000064,Wilson,Jackson,5,Horizon Middle,2026-04-08,Spring (March 2 - End of Year),Y,2 Grade Levels Below,74
1000065,Smith,Ava,10,Central High,2025-11-05,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,143
1000065,Smith,Ava,10,Central High,2025-12-22,Winter (November 16 - March 1),N,2 Grade Levels Below,0
1000065,Smith,Ava,10,Central High,2026-04-16,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,115
1000066,Brown,Jackson,12,Eagle View Elementary,2025-10-31,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,155
1000066,Brown,Jackson,12,Eagle View Elementary,2025-11-20,Winter (November 16 - March 1),N,2 Grade Levels Below,0
1000066,Brown,Jackson,12,Eagle View Elementary,2026-04-24,Spring (March 2 - End of Year),Y,1 Grade Level Below,42
1000067,Taylor,Benjamin,8,Prairie Ridge Middle,2025-08-31,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,98
1000067,Taylor,Benjamin,8,Prairie Ridge Middle,2026-02-19,Winter (November 16 - March 1),N,Mid or Above Grade Level,254
1000067,Taylor,Benjamin,8,Prairie Ridge Middle,2026-04-30,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,147
1000068,Sanchez,Nora,11,Central High,2025-08-21,Fall (Beginning of Year - November 15),N,1 Grade Level Below,94
1000068,Sanchez,Nora,11,Central High,2026-01-23,Winter (November 16 - March 1),N,2 Grade Levels Below,159
1000068,Sanchez,Nora,11,Central High,2026-04-19,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,158
1000069,Smith,Isabella,1,Grand Mesa Elementary,2025-10-20,Fall (Beginning of Year - November 15),N,Early On Grade Level,53
1000069,Smith,Isabella,1,Grand Mesa Elementary,2026-01-14,Winter (November 16 - March 1),N,2 Grade Levels Below,201
1000069,Smith,Isabella,1,Grand Mesa Elementary,2026-04-23,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,123
1000070,Lewis,Lucas,1,Cedar Hills Elementary,2025-09-28,Fall (Beginning of Year - November 15),N,Early On Grade Level,121
1000070,Lewis,Lucas,1,Cedar Hills Elementary,2026-02-19,Winter (November 16 - March 1),N,Mid or Above Grade Level,72
1000070,Lewis,Lucas,1,Cedar Hills Elementary,2026-04-24,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,10
1000071,Johnson,Ava,9,East High,2025-09-06,Fall (Beginning of Year - November 15),N,1 Grade Level Below,0
1000071,Johnson,Ava,9,East High,2026-02-11,Winter (November 16 - March 1),N,Mid or Above Grade Level,173
1000071,Johnson,Ava,9,East High,2026-04-16,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,164
1000072,Miller,Scarlett,7,Canyon Ridge Elementary,2025-10-25,Fall (Beginning of Year - November 15),N,1 Grade Level Below,128
1000072,Miller,Scarlett,7,Canyon Ridge Elementary,2025-12-28,Winter (November 16 - March 1),N,1 Grade Level Below,106
1000072,Miller,Scarlett,7,Canyon Ridge Elementary,2026-05-11,Spring (March 2 - End of Year),Y,2 Grade Levels Below,146
1000073,Jones,Leo,3,Mountain View Middle,2025-10-25,Fall (Beginning of Year - November 15),N,1 Grade Level Below,263
1000073,Jones,Leo,3,Mountain View Middle,2025-12-18,Winter (November 16 - March 1),N,1 Grade Level Below,107
1000073,Jones,Leo,3,Mountain View Middle,2026-03-05,Spring (March 2 - End of Year),Y,Early On Grade Level,155
1000074,Johnson,Ava,K,Falcon Ridge Elementary,2025-11-13,Fall (Beginning of Year - November 15),N,Early On Grade Level,160
1000074,Johnson,Ava,K,Falcon Ridge Elementary,2026-01-01,Winter (November 16 - March 1),Y,Mid or Above Grade Level,66
1000075,Lee,Elijah,K,Horizon Middle,2025-08-17,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,101
1000075,Lee,Elijah,K,Horizon Middle,2026-01-09,Winter (November 16 - March 1),N,1 Grade Level Below,68
1000075,Lee,Elijah,K,Horizon Middle,2026-03-12,Spring (March 2 - End of Year),Y,1 Grade Level Below,19
1000075,Lee,Elijah,K,Horizon Middle,2026-03-18,Spring (March 2 - End of Year),N,2 Grade Levels Below,87
1000076,Taylor,Elijah,9,Horizon Middle,2025-08-22,Fall (Beginning of Year - November 15),N,1 Grade Level Below,216
1000076,Taylor,Elijah,9,Horizon Middle,2026-02-07,Winter (November 16 - March 1),N,2 Grade Levels Below,25
1000076,Taylor,Elijah,9,Horizon Middle,2026-04-28,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,0
1000077,White,Harper,7,Central High,2026-04-25,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,81
1000078,Clark,Noah,7,Canyon Ridge Elementary,2026-04-26,Spring (March 2 - End of Year),Y,Mid or Above Grade Level,161
1000079,Johnson,Evelyn,12,Eagle View Elementary,2025-10-20,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,0
1000079,Johnson,Evelyn,12,Eagle View Elementary,2026-02-20,Winter (November 16 - March 1),N,Mid or Above Grade Level,59
1000079,Johnson,Evelyn,12,Eagle View Elementary,2026-03-08,Spring (March 2 - End of Year),Y,Early On Grade Level,211
1000080,Thomas,Scarlett,3,Eagle View Elementary,2025-10-20,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,83
1000080,Thomas,Scarlett,3,Eagle View Elementary,2026-01-28,Winter (November 16 - March 1),Y,Mid or Above Grade Level,117
1000081,Robinson,Ella,9,Aspen Elementary,2025-11-06,Fall (Beginning of Year - November 15),N,1 Grade Level Below,188
1000081,Robinson,Ella,9,Aspen Elementary,2026-02-13,Winter (November 16 - March 1),N,1 Grade Level Below,119
1000081,Robinson,Ella,9,Aspen Elementary,2026-03-20,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,0
1000082,White,Noah,2,Aspen Elementary,2025-09-27,Fall (Beginning of Year - November 15),N,Mid or Above Grade Level,41
1000082,White,Noah,2,Aspen Elementary,2026-02-23,Winter (November 16 - March 1),N,Early On Grade Level,140
1000082,White,Noah,2,Aspen Elementary,2026-03-08,Spring (March 2 - End of Year),Y,1 Grade Level Below,179
1000083,Martin,Isabella,7,East High,2025-09-13,Fall (Beginning of Year - November 15),N,Early On Grade Level,216
1000083,Martin,Isabella,7,East High,2025-12-30,Winter (November 16 - March 1),N,Early On Grade Level,45
1000083,Martin,Isabella,7,East High,2026-04-10,Spring (March 2 - End of Year),Y,3 or More Grade Levels Below,132
